Level 1,Level 1 Description,Level 2 (MH),Level 2 Description
,,Wrong Food,"Select this when a customer receives an incorrect food item due to issues such as incorrect labeling, packing errors, or the customer mistakenly ordering the wrong item. This category is focused specifically on errors involving a single food item within the order, such as receiving a puff instead of lasagna or a chocolate donut instead of a chocolate roll. The resolution typically involves addressing the error related to that particular food item, either by replacing it or issuing a refund."
,,Wrong Order / Item(s),"Select this intent when the issue involves the entire order or multiple items, including drinks and/or food, being incorrect or incomplete. This applies to broader fulfillment errors, such as receiving someone else’s order, missing items, or multiple incorrect items, affecting more than just a single drink. The problem may include a mix-up with both food and drinks or a general issue with how the entire order was handled. This intent should be used when the scope of the mistake goes beyond just one drink and affects multiple aspects of the order. The resolution generally involves resending the correct items, refunding the customer, or recovering the missing parts of the order."
,,Missed Out - Order,"Select this intent when a customer reports that one or more items were missing from their order upon receipt. This typically results from the outlet failing to include all ordered items during packing or preparation. Issues that involve customers receiving fewer items than ordered, or specific items not being included in the delivery, should be categorized here. The issue is related to the completeness of the order as prepared by the outlet, not with the delivery execution.  Do not use this intent for minor items like stickers, straws, or add-ons, which should be categorized under ""Missed Out - Remarks."" The focus is on the main items missing, not delivery errors or minor omissions."
,,OOS,"Select this intent when the primary issue is that an item or ingredient is explicitly mentioned as being out of stock, sold out, or unavailable at the outlet or location, whether this occurs before or after a purchase is made. This includes situations where stock issues prevent the fulfillment of the order, such as a specific item not being available at the time of ordering or becoming unavailable during processing. The key distinguishing factor is the explicit mention of stock unavailability, which takes precedence over other concerns and directly impacts the order fulfillment process, typically resulting in cancellation and refund."
,,Rider Behavior,"Select this when the issue involves inappropriate or unprofessional conduct by the delivery rider that affects the service experience. This includes situations where the rider exhibits rude behavior, fails to communicate effectively (such as not answering calls or hanging up), requests additional payment unexpectedly, or encounters logistical issues like a motorbike breakdown. Additionally, it covers cases where the rider updates the delivery status to ""delivered"" before actually completing the delivery or shows other forms of unresponsiveness or negligence during the delivery process."
,,Received Extra Item(s),"Select this when customers report receiving additional items in their order that were not intended for them, either due to barista or rider mistakes."
,,No - Straw Given / Cutleries,Select this when customers complain about not receiving necessary items like straws or cutleries with their order.
,,Hot / Iced Mistakes,"Select this when customers receive a hot drink instead of an iced one, or vice versa, due to incorrect preparation. It is specific to mistakes related to the temperature of a drink, where the rest of the order is correct but the drink's temperature does not match what was requested. The issue is isolated to the temperature of the drink, not involving multiple items or affecting the entire order. The resolution typically involves resending the correctly prepared drink or offering an adjustment, focusing solely on correcting the drink’s temperature error."
,,Pickup / Delivery Mistakes,"Select this when a customer mistakenly selects the wrong fulfillment option, choosing pickup instead of delivery, or vice versa. The customer typically realizes the error after placing the order and contacts support to request a change in how they will receive their order. The key issue is the incorrect selection of pickup or delivery during the ordering process, and the customer’s goal is to modify the fulfillment method, not to change or cancel the order itself. In these cases, the order contents are usually correct, and the request is centered on adjusting how the order is collected or delivered."
,,Missed Out - Remarks,"Select this when a customer reports that non-drink-related order remarks or special instructions were not followed, such as requests for additional napkins, paper bags, or a straw for their coffee (even if they forgot to include it when placing the order). This excludes any issues related to drink customizations, such as ice, sugar, or add-ons, which should be categorized under ""Missed Out - Drinks Remarks."" Do not use this intent for larger issues like wrong or missing drinks or food items. Also exclude issues related to missed add-ons (e.g., velvet cream, coffee jelly, boba), temperature preferences (e.g., warmer, less ice), wrong milk type, or sweetness level."
,,Missed Out - Drinks Remarks,"Select this when a customer reports that any drink-related remarks or special instructions were not followed, including cases where customization requests were overlooked. This covers missed add-ons (e.g., velvet cream, coffee jelly, boba, pearls, drizzle), incorrect temperature preferences (e.g., warmer, less hot, less ice, hotter), wrong milk type (e.g., dairy, almond, oat, soy), incorrect ice levels (e.g., no ice, less ice), or incorrect sweetness level (e.g., no sugar, less sweet, regular sweetness). This category specifically addresses issues with unfulfilled customization requests, not broader complaints about the drink's overall quality."
Quality & Hygiene Complaints,"Select this for quality and hygiene complaints across various food and beverage categories. For drinks, this includes taste issues (sour, bland, too milky, incorrect flavor, taste discrepancies between outlets), quantity problems, contamination (coffee residues, foreign objects), or expired ingredients. For cakes, it covers taste complaints (sour, strange flavors), freshness issues (staleness), and contamination. Pastry complaints encompass cold pastries, lack of filling, and foreign objects. Hot food issues include improper cooking (cold inside, undercooked, too dry, salty), contamination, insufficient ingredients, and expired items. This category also addresses general food hygiene concerns, including foreign objects or expired items in both food and drinks, indicating safety and cleanliness issues. Select this for all cases, including those without evidence, photos, or follow-up from customers. Exclude complaints about barista/staff behavior, hot vs. ice preferences, foam/frappe-related issues, or volume discrepancies compared to usual servings.",Quality Complaint - Drink,"Select this category when customers express dissatisfaction with the overall quality of the beverage, including issues such as taste discrepancies (e.g., too strong, bland, or incorrect flavor), contamination (e.g., coffee residues or foreign substances), concerns about freshness or expired ingredients, and noticeable differences in taste between outlets. This category also applies when missed customizations directly affect the perceived quality, but not when the sole issue is the missing customization itself. Excludes issues related purely to foam and volume. It also covers complaints where customers report general problems with the drink's quality but may lack specific evidence or follow-up."
,,Quality Complaint - Food - Cake,"Select this when customers complain specifically related to the quality of cakes, including issues with taste (e.g., sour or strange flavors), freshness (e.g., cakes perceived as stale), and contamination (e.g., foreign objects found in the cake). It also includes cases where customers allege issues but do not provide further evidence or respond to follow-up inquiries."
,,Quality Complaint - Food - Pastries,"Select this when customers complain regarding pastries, such as receiving them cold, lacking filling, or containing foreign objects. It also covers situations where the customer reports an issue but does not provide further evidence or respond to inquiries."
,,Quality Complaint - Hot Food,"Select this when customers complains about the quality of hot food items. It includes issues such as improper cooking (e.g., food that is cold inside, undercooked, too dry, or overly salty), contamination (e.g., foreign objects), insufficient ingredients, or expired items. This intent also covers situations where the customer reports a problem but does not provide photos or respond to follow-up inquiries."
,,Hygiene - Drink,"Select this category when customers report specifically covers complaints where customers report finding a foreign object in their drink, raising concerns about the cleanliness and safety of the beverage."
,,Hygiene - Food,"Select this category when customers report relates to complaints about food hygiene, including the presence of foreign objects in food or the receipt of expired food items, indicating concerns about the safety and cleanliness of the food provided.


"
,,Complaints,"Select this intent when customers raise complaints that are not tied to specific order-related issues or lack a clear resolution, such as when an agent can only apologize or thank the customer without resolving the issue. It includes complaints about incorrect order preparation, repeated occurrences of the same problem, confusion or delays in the ordering or preparation process, and dissatisfaction with missing app features or services. This intent also applies to complaints about orders being canceled without notification, issues related to outlet facilities, or concerns about the terms and conditions of promotions, vouchers, or gift cards. Additionally, it covers instances where outlets turn away walk-in customers or customers complain about company-related information. This excludes complaints regarding hygiene or quality issues."
Packaging & Spillage Issues,"Select this intent for any quality or hygiene-related complaints across all food and beverage categories. For drinks, this includes issues such as taste discrepancies (e.g., too strong, bland, incorrect flavor), freshness concerns, contamination (e.g., coffee residues, foreign objects), and expired ingredients. It also applies to complaints about noticeable differences in taste between outlets and missed customizations that impact the perceived quality, though not when the sole issue is the missing customization itself. For cakes, this intent covers problems with taste (e.g., sour or strange flavors), staleness, and contamination. For pastries, it includes complaints about cold pastries, lack of filling, or the presence of foreign objects. For hot food, this encompasses improper cooking (e.g., cold inside, undercooked, too dry, or overly salty), contamination, insufficient ingredients, and expired items. This intent also addresses general food hygiene concerns across all categories, including foreign objects or expired items in both food and drinks, raising safety and cleanliness issues. Select this for all quality and hygiene complaints, even when customers do not provide evidence, photos, or follow-up, but exclude complaints about barista/staff behavior, temperature preferences (hot vs. iced), foam or frappe-related issues, and volume discrepancies.",Spillage,"Select this when a customer complains that their order spilled upon delivery. This category is specifically for delivery-related spillage issues, where the contents leaked or spilled during the delivery process. It covers scenarios such as bags breaking during transit, containers tipping over, or drinks leaking due to movement or mishandling. The packaging may have appeared intact, but the focus is on the spill that occurred specifically due to delivery. This classification also includes cases where the cup or container arrived broken, resulting in spillage. The key factor for this category is that the spill happened during delivery, regardless of the initial packaging condition."
,,Packaging,"Select this when customer complaints relate to the process, quality, and adequacy of packaging, regardless of whether a spill occurred. This category focuses on packaging effectiveness and safety, not the occurrence of a spill itself. It includes issues such as improper packaging or seals, lids not tightly closed, drinks or packaging not taped properly, damaged packaging leading to potential spills, bottle caps breaking, drinks served in the wrong-sized cups, and requests for cup sleeves or other protective materials. The key focus is on how the packaging affects product quality and safety, even if no spill has occurred, with a potential to lead to future issues. Examples include cups not being secured properly for takeaway, bottle caps breaking during normal use, or iced drinks served in inadequate containers."
,,Foam Issue,"Select this when customers or agents report problems related to foam or volume in their drinks. This category covers a wide range of concerns, including: coffees that are only half-filled, drinks with excessive foam resulting in less liquid quantity than expected, instances where foam thickness dissipates during delivery leading to perceived volume reduction, beverages that appear to have less volume or quantity than anticipated, and drinks that are not full upon delivery. It also encompasses situations where customers question the serving size due to receiving a cup of coffee that wasn't full, express that the drink was less than expected in terms of volume, or report receiving a drink significantly less in quantity than usual, which may taste too strong due to insufficient milk. Additionally, this classification includes cases where the drink had a thicker foam during preparation, which then dissipated during delivery, causing customer dissatisfaction. Overall, this category captures any dissatisfaction with drink size, measurement, or perceived value related to foam and volume issues, regardless of whether the problem occurred during preparation or delivery."
,,Frappe Issue,"Select this when customers complain about their frappe based drink being melted or diluted, even if it was picked up or delivered within a short timeframe.
"
Payment & Refund Issues,"Select this intent for any issues related to payments and refunds. This includes unauthorized payments or orders made without the customer's consent, leading to account discrepancies; technical errors or failures during payment processes, such as pending transactions, payment gateway issues, app bugs, or problems with wallet balances; double payment charges, where customers are billed twice across different or the same payment methods; and inquiries about payment status when the customer seeks confirmation of whether a payment was processed correctly. It also covers missed opportunities to apply promo codes, vouchers, or discounts, leading to order cancellations; delivery fee refund requests due to circumstances like bad weather or missing riders; and various refund-related problems, including processing delays, non-receipt, incorrect amounts, or refunds processed through the wrong channels. The intent addresses refund status inquiries and covers issues from gift card rejections to wallet top-up problems, excluding confirmed Out of Stock (OOS) cases and unverified double charge inquiries.",Unauthorised Payment,"Select this when customers report that a payment/order was made without their authorization, either by another customer or through a payment gateway without their consent. This includes cases where unauthorized transactions result in discrepancies in their account."
,,Payment Error / Failure,"Select this intent when customers experience technical issues or errors during the payment process. This includes situations where payments are deducted from the customer's account but not reflected in the system, or where transactions remain pending due to delays or application bugs. It covers problems like wallet top-ups or payments not showing in the account, failed transactions despite funds being deducted, or rejected payments due to system issues such as multiple credit cards or invalid transactions. The key focus here is on technical failures or glitches preventing the payment from being processed or recorded correctly."
,,Double Payment Charges,"Select this intent when customers report being charged twice for a single transaction. This includes cases where the customer is billed twice using the same or different payment methods, such as credit cards, e-wallets, or bank accounts. It involves verifying and addressing the duplicate charges shown in the customer’s bank or transaction history. This intent excludes cases where the customer is simply inquiring whether a double charge has occurred without providing evidence or where the charge is unconfirmed. The primary focus is on confirming and resolving instances of actual double charges."
,,Payment Status,"Select this intent when customers inquire about the current status of a payment they made. It focuses on situations where there are no technical failures, and the customer simply seeks confirmation about whether the payment was completed or is still pending. This intent excludes cases where the payment was deducted but not reflected in the system, or where errors occurred during the transaction. It typically involves customers asking if their payment was received or processed correctly without any mention of a failure or delay."
,,Missed Out - Promo Code,"Select this intent when customers want to cancel an order because they missed applying a promo code or voucher. This includes cases where they forgot to enter a voucher or discount code, apply a discount voucher, or use a ""buy one, get one free"" code. It also covers instances where a system error removed a free delivery voucher after topping up their balance, or when the customer faced an issue with an invalid voucher and wishes to cancel their order to place a new one using the voucher. The focus here is on the missed promotional opportunity, and this intent should be selected even if the customer mentions the order being ""incorrect"" but refers to missing the promo code. Excludes cases where the issue is with the order content, such as selecting the wrong items or delivery time."
,,Refund Delivery Fees,"Select this when customers request a refund of delivery fees due to circumstances like heavy rain or a missing rider, leading them to opt for self-pickup instead."
,,Refund Error / Failure,"Select this when customers complain specifically about not receiving their refund. This includes cases where the refund has been delayed, processed but not reflected, or other issues related to the refund not being completed as expected. This category excludes issues related to stock availability; it focuses solely on the problems with the refund process itself."
,,Refund Status,"Select this when customers inquire about the status of a refund, whether for a balance withdrawal or an order refund. This includes requests for updates on when the refund will be completed.
"
,,Incorrect Refund Amount / Channel,"Select this when customers report receiving an incorrect refund amount or when the refund was processed through the wrong channel.
"
Cancellation Requests,"Select this intent when customers request to cancel their order due to various reasons, including rider unavailability, wrong outlet or address selection, incorrect orders, or long waiting times. This covers situations where customers waited more than 30 minutes without a rider being assigned, or where the system automatically canceled the order due to rider assignment difficulties, with a refund processed to the ZUS Balance. It also applies when customers select the wrong outlet or enter an incorrect address, such as choosing an outlet in a different city or pinning the wrong location, including cases where a voucher is offered as compensation. Additionally, it includes cancellations due to placing incorrect orders, such as ordering the wrong item, amending or adding items, emergencies, changing delivery times, duplicate orders, or location restrictions (e.g., airport gates), as well as barista errors during app or walk-in orders. Lastly, it covers cancellations caused by long waiting times, including delays in marking orders ""pickup ready"" within 15 minutes, delivery delays over 45 minutes, riders not moving for 30 minutes, or outlet technical issues.",Cancellation - No Rider,"Select this intent when customers request to cancel their order specifically due to the unavailability of a rider for delivery. This applies to scenarios where the customer waits more than 30 minutes without a rider being assigned, or where the system automatically cancels the order because of difficulties in assigning a rider. The primary concern is the absence of a rider, which prevents the order from being delivered, leading to automatic cancellation and refund processing. The focus here is on the rider assignment issue rather than general waiting time or other operational delays."
,,Cancellation - Wrong Outlet / Address,"Select this when customers request to cancel their order due to selecting the wrong outlet or entering the wrong address. This includes scenarios where the customer mistakenly selected an outlet in a different city or inserted the incorrect address or pinned the wrong location. The cancellation is driven by a customer error in choosing the outlet or address, rather than an operational issue at the outlet itself. Exclude cases whereby agent gives customer a voucher as compensation, that should be ""Wrong Outlet / Address - Voucher Code"". This intent is specific to customer errors in choosing the outlet or address and excludes cancellations caused by operational issues, such as blackouts or power outages at the outlet."
,,Cancellation - Incorrect Order,"Select this when a customer requests to cancel or amend their order due to an issue with the order content or timing. Examples include placing the wrong items, needing to add or remove items, making a duplicate order, or selecting the wrong delivery time. The customer may also need to cancel due to unforeseen circumstances like an accident or emergency. In some cases, location restrictions (such as airport gates) prevent them from picking up the order. The focus of this intent is on correcting or canceling the order itself, rather than simply changing the method of pickup or delivery or addressing operational disruptions at the outlet. This intent should not be used if the cancellation is specifically due to an operational issue at the outlet, such as equipment failure, power outages or system failures."
,,Cancellation - Long Waiting Time,"Select this intent when customers request to cancel their order due to extended waiting periods. This includes scenarios where an order was not ready for pickup within 15 minutes, has been delayed beyond 45 minutes, or where the rider has not moved for over 30 minutes. The primary issue is customer frustration over the length of the wait time, whether due to high order volume, outlet inefficiencies, or general delays in preparation or delivery. Technical issues may be a factor, but the main reason for cancellation is time-related, not necessarily tied to specific operational problems like system malfunctions, water supply issues or power-related problem at the outlet. Exclude scenarios where a machine breakdown or other operational issue causes the delay"
,,Wrong Outlet / Address - Voucher Code,Select this intent when customers report ordering or selecting from the wrong location or outlet. This includes cases where the issue is resolved by offering the customer a voucher as compensation.
,,Outlet Not Open,"Select this intent when customers report that an outlet was unexpectedly closed or not operational, even though they were able to place an order through the app. This includes situations where the customer couldn't locate a newly opened ZUS outlet, needed to cancel their order because the store was closed with no staff available, or placed an order at an outlet that was physically closed. It also covers instances where the outlet was not prepared to fulfill orders or where a technical issue allowed the outlet to accept orders despite being unable to fulfill them. This intent excludes cases where a long queue prevents the outlet from accepting new orders."
,,Pickup / Delivery Mistakes,"Select this when a customer mistakenly selects the wrong fulfillment option, choosing pickup instead of delivery, or vice versa. The customer typically realizes the error after placing the order and contacts support to request a change in how they will receive their order. The key issue is the incorrect selection of pickup or delivery during the ordering process, and the customer’s goal is to modify the fulfillment method, not to change or cancel the order itself. In these cases, the order contents are usually correct, and the request is centered on adjusting how the order is collected or delivered."
,,KDS & Xilnex Issue,"Select this intent when customers or riders report issues related to the Kitchen Display System (KDS) or the Point of Sales (Xilnex) system, which may cause problems such as orders being incorrectly marked as ""delivered"" instead of ""pickup,"" delays due to orders stuck in ""preparing,"" or outlets not receiving orders. The key factor is a technical system failure at the restaurant that affects the processing or preparation of the order. System outages or syncing problems that prevent orders from being fulfilled, leading to delays, cancellations, or refund requests, fall under this category. Importantly, this excludes situations where the delay or cancellation is solely due to waiting times not related to system errors."
,,Missed Out - Promo Code,"Select this intent when customers want to cancel an order primarily because they missed applying a promo code or voucher. Even if the order contains mistakes, the focus must be on the missed promotional opportunity, including cases where the system error removed a voucher, or the voucher was invalid. This includes issues with forgotten promo codes, discount vouchers, or ""buy one, get one free"" offers. If the customer mentions an incorrect order but emphasizes the missed promo code as the reason for cancelation, this intent applies. Excludes situations where the main issue is with the order content, such as wrong items or delivery timing."
App & Technical Issues,"Select this intent for any app-related issues where customers experience technical problems such as the app being slow, lagging, buggy, freezing, or having long loading times. This includes cases where multiple identical orders are created, customers are unable to repeat an order, incorrect wallet balances are shown after a top-up, or orders do not appear in the app. It also covers issues with applying promotions, vouchers, gift cards (both for the user and recipient), signing up, logging in (including unrecognized phone numbers), or redeeming loyalty points. Additionally, include problems with referral codes not displaying joined friends, as well as OTP (One-Time Password) verification failures or delays via WhatsApp, SMS, or email. Issues related to scanning receipt QR codes for points, incorrect loyalty point calculations, missing vouchers, and Coffee Club point problems also fall under this intent. Exclude cases of technical outages or system breakdowns affecting order processing, Point of Sale (POS) systems, or order display. However, include app-related authentication problems related to OTP verification and exclude broader technical issues outside the app's functionality.",App - Buffering / Lag,"Select this intent when customers report issues with the app being slow, lagging, buggy, experiencing technical glitches, taking too long to load, or freezing. This includes cases where the system causes multiple identical orders, prevents repeating an order, or shows incorrect wallet balances after a top-up. It also covers situations where orders do not reflect in the app, or where technical glitches impact applying promotions, vouchers, gift cards, sign-ups, logins (including issues where phone numbers are not recognized), or making orders. Additionally, include issues with unrecognized phone numbers upon login and the inability to see friends who joined using their referral code. Exclude cases of technical outages that cause delays or lack of updates for orders."
,,App - Gift Cards,"Select this when customers mention issues with redeeming gift cards via the app, either for themselves or when the gifted person is having trouble redeeming the gift card in the app. This includes problems related to incorrect recipient information (e.g., phone number, email) impacting gift card redemption or any other issues related to the use of gift cards within the app."
,,App - Loyalty Issue,"Select this intent when customers report issues with retrieving loyalty information or incorrect calculations of loyalty points or tiering in the app. This includes cases where customers receive a voucher via email but the discount rate differs from what's displayed in the app, did not receive a specific voucher, or are unable to apply/redeem vouchers or points for discounts. It also covers missing points after purchases, inquiries about forfeited points, vouchers automatically added to accounts, Coffee Club points not being awarded, Cup Count not updating after purchase, missing vouchers in the app, and issues scanning receipt QR codes to collect points. Include scenarios where customers mention phone numbers or emails as part of resolving loyalty issues, as long as the primary problem relates to loyalty points or rewards. This excludes general inquiries about loyalty points or vouchers."
,,App - OTP,"Select this intent when customers report issues receiving OTP (One-Time Password) verification via WhatsApp, SMS, or email, including delays causing the OTP to expire or multiple failed attempts to retrieve it. It also applies when customers are unable to receive the OTP while attempting to change their phone number or log in. The focus is on authentication-related problems where the OTP is not received or accepted, not covering broader payment processing or account balance issues. This excludes cases where the primary issue is updating contact details, phone number validity, or broader technical issues affecting app functionality or login processes.



"
,,KDS & Xilnex Issue,"Select this intent when customers or riders report issues related to the Kitchen Display System (KDS) or the Point of Sales (Xilnex) system, which may cause problems such as orders being incorrectly marked as ""delivered"" instead of ""pickup,"" delays due to orders stuck in ""preparing,"" or outlets not receiving orders. The key factor is a technical system failure at the restaurant that affects the processing or preparation of the order. System outages or syncing problems that prevent orders from being fulfilled, leading to delays, cancellations, or refund requests, fall under this category. Importantly, this excludes situations where the delay or cancellation is solely due to waiting times not related to system errors."
Outlet & Staff Complaints,"Select this intent when customers report any issue related to the operation of an outlet or staff behavior, especially when service is disrupted or negatively impacted. This includes complaints about coffee machines breaking down or undergoing maintenance, causing delays or cancellations, issues with air conditioning or electrical problems such as blackouts or system failures affecting service, flooding, internet or wifi connectivity issues, and water supply disruptions that impact operations. It also covers cases where outlets are unexpectedly closed or not operational, including those caused by staff shortages, setup delays, or technical glitches allowing orders despite closure. Complaints related to barista behavior, such as slow service, failure to follow order instructions, inappropriate conduct (e.g., vaping), and miscommunication about order status (e.g., incorrect app updates) also fall under this category. Additionally, it includes concerns about outlet cleanliness or staff hygiene, dissatisfaction with general service, and complaints involving issues that result in customer frustration but are not directly linked to a specific order-related issue or resolution.",Machines - Broke down,"Select this intent when customers are informed that their drink cannot be prepared or significantly delayed due to coffee machines undergoing maintenance or breaking down. Use this intent when machine malfunctions directly cause delays or cancellations. This includes cases where the customer requests a cancellation because the outlet is unable to fulfill the order due to equipment issues. If a machine breakdown is the core issue leading to extended waiting times or order cancellations, this intent should apply. The focus is on operational failures, not on customer frustration purely over delays unrelated to machine issues."
,,Machines - Maintenance,Select this ONLY if customer complaints of on going machine maintenance in an outlet.
,,Outlet - Air Conditioner Issue,"Select this when customers report issues with the air conditioning/AC at an outlet, causing discomfort or inconvenience during their visit."
,,Outlet - Blackout,"Select this intent when customers report an outlet experiencing disruptions due to power supply or electrical issues, leading to cancellations or service interruptions. This includes cases where incorrect orders result directly from these electrical disruptions, such as blackouts or system failures. This includes situations where the system is down due to a power supply or source issue at the outlet, an electrical problem in the nearby area affecting delivery, or the outlet being unable to operate due to a power outage or lack of electricity. Additionally, the intent covers cases where the outlet lacks electricity or is affected by a blackout, but it excludes instances where the outlet is not open or the delay is purely time-related without mention of electrical issues."
,,Outlet - Flooded,"Select this when customers report that an outlet was affected by flooding, causing disruptions to normal operations.
"
,,Outlet - Internet Issue,You will only select this if customer complaints of internet or wifi or connective issues in an outlet.
,,Outlet - Water Disruption,"Select this when customers or staff report water supply issues at an outlet, impacting its ability to operate. This includes cases where the outlet is unable to make coffee due to a lack of water, or where the outlet is temporarily closed because of a clog issue or a machine problem that caused a water disruption. Additionally, it covers situations where orders were canceled due to no water supply in the area or a water shortage, as well as instances where the outlet was unable to prepare orders due to a water-related issue. In these cases, the order may have been partially prepared or entirely unfulfilled due to the water disruption, leading to customer cancellation and a refund request. The key is that the problem originates from the outlet's inability to operate due to water issues, not a mistake on the customer’s part."
,,Outlet Not Open,"Select this intent when customers report that an outlet was unexpectedly closed or not operational, even though they were able to place an order through the app. This includes situations where the customer couldn't locate a newly opened ZUS outlet, needed to cancel their order because the store was closed with no staff available, or placed an order at an outlet that was physically closed. It also covers instances where the outlet was not prepared to fulfill orders or where a technical issue allowed the outlet to accept orders despite being unable to fulfill them. This intent excludes cases where a long queue prevents the outlet from accepting new orders."
,,Performance - Barista Behaviour / Service,"Select this intent when customers report issues related to barista behavior, service quality, or delays in service, including confusion caused by the app incorrectly marking an order as ""delivered"" before pickup or failing to update the order status after preparation or collection. This includes frustration when the order status has not updated despite notifications of baristas preparing the order, prolonged wait times due to staff forgetting to mark orders as ""done"" or ""pickup ready,"" and repeated mistakes where baristas fail to correctly read the customer's order, requiring reminders. It also covers situations where the order status remains as ""prepared"" or ""barista preparing"" in the app, even after the customer has already collected their coffee. Additionally, customer complaints about inappropriate barista behavior, such as excessive noise or vaping, are included, along with failures to ask for phone numbers to collect ZUS points. Communication and understanding issues between baristas and customers are also addressed. This intent excludes issues related to long queues or situations outside the barista or staff's control, such as the outlet being unable to fulfill orders."
,,Performance - Outlet / Staff Hygiene,"Select this when customers complain about the cleanliness or hygiene of the outlet or staff, such as unclean tables, overflowing trash bins, or staff not following hygiene protocols. Exclude issues related to water disruption, blackout, air conditioning/AC, internet/wifi issues, KDS/point of sales, machine."
